Feature,Importance
AMT_REQ_CREDIT_BUREAU_MON,0.004072712
ORGANIZATION_TYPE_Security,0.00404306
ORGANIZATION_TYPE_Industry: type 5,0.004039449
AMT_REQ_CREDIT_BUREAU_WEEK,0.0040260362
WEEKDAY_APPR_PROCESS_START_SUNDAY,0.0040124343
LIVE_REGION_NOT_WORK_REGION,0.0039928528
ORGANIZATION_TYPE_Industry: type 11,0.0039907964
NAME_FAMILY_STATUS_Widow,0.0039635487
ORGANIZATION_TYPE_Culture,0.003917593
FLAG_DOCUMENT_8,0.003903025
REG_CITY_NOT_WORK_CITY,0.0038908767
ORGANIZATION_TYPE_Electricity,0.0038885311
FLAG_OWN_REALTY_Y,0.0038596005
FLAG_DOCUMENT_6,0.00382628
REG_REGION_NOT_WORK_REGION,0.0038246147
OCCUPATION_TYPE_Cooking staff,0.0038117361
OBS_30_CNT_SOCIAL_CIRCLE,0.0038036525
ORGANIZATION_TYPE_Industry: type 2,0.0037967751
ORGANIZATION_TYPE_Transport: type 1,0.0037963742
OCCUPATION_TYPE_Laborers,0.0037927083
OCCUPATION_TYPE_Waiters/barmen staff,0.0037734597
WEEKDAY_APPR_PROCESS_START_THURSDAY,0.0037706022
OCCUPATION_TYPE_Realty agents,0.0037469256
REG_REGION_NOT_LIVE_REGION,0.0036531743
FLAG_DOCUMENT_5,0.0036309531
ORGANIZATION_TYPE_Legal Services,0.0036268646
INCOME_GROUP_Lower Middle,0.0036179163
AMT_REQ_CREDIT_BUREAU_DAY,0.0036095304
OCCUPATION_TYPE_IT staff,0.0035911351
WEEKDAY_APPR_PROCESS_START_TUESDAY,0.0035607207
LIVE_CITY_NOT_WORK_CITY,0.0035534296
ORGANIZATION_TYPE_Industry: type 3,0.0034964667
FLAG_CONT_MOBILE,0.0034213853
ORGANIZATION_TYPE_Industry: type 7,0.0034089447
CNT_CHILDREN,0.0033790518
ORGANIZATION_TYPE_Industry: type 1,0.0033294891
ORGANIZATION_TYPE_Cleaning,0.0033239177
AMT_REQ_CREDIT_BUREAU_HOUR,0.003320641
FLAG_DOCUMENT_7,0.003316431
ORGANIZATION_TYPE_Trade: type 3,0.003315574
LTI_GROUP_Medium LTI,0.003286595
ORGANIZATION_TYPE_Transport: type 4,0.0032652346
ORGANIZATION_TYPE_Emergency,0.00317132
ORGANIZATION_TYPE_Postal,0.0031548766
ORGANIZATION_TYPE_Mobile,0.0031129085
ORGANIZATION_TYPE_Agriculture,0.0030733212
NAME_TYPE_SUITE_Other_B,0.0029546837
FLAG_DOCUMENT_17,0.002936332
ORGANIZATION_TYPE_Insurance,0.0028725972
OCCUPATION_TYPE_HR staff,0.0027850422
NAME_INCOME_TYPE_Unemployed,0.002755958
ORGANIZATION_TYPE_Trade: type 4,0.0026321667
NAME_TYPE_SUITE_Other_A,0.002551773
FLAG_DOCUMENT_2,0.0023179802
FLAG_DOCUMENT_20,0.0022809044
ORGANIZATION_TYPE_Industry: type 13,0.0011386127
FLAG_DOCUMENT_10,0.0
FLAG_MOBIL,0.0
FLAG_DOCUMENT_4,0.0
NAME_INCOME_TYPE_Maternity leave,0.0
NAME_INCOME_TYPE_Student,0.0
ORGANIZATION_TYPE_Industry: type 8,0.0
ORGANIZATION_TYPE_Industry: type 6,0.0
ORGANIZATION_TYPE_Trade: type 5,0.0
CODE_GENDER_XNA,0.0
FLAG_DOCUMENT_12,0.0
FLAG_DOCUMENT_21,0.0
NAME_FAMILY_STATUS_Unknown,0.0
FLAG_DOCUMENT_19,0.0
ORGANIZATION_TYPE_Religion,0.0
NAME_TYPE_SUITE_Group of people,0.0
